posting_date,txn_date,description,direction,amount,fx_currency,fx_amount
18FEB,16FEB,| ALTAZAJ FAKIEHBBQCJEDDAH SAU,debit,374.37,SAR,29.00
18FEB,14FEB,| BINDAWOOD-JABLOMER MAKKAH SAU,debit,707.63,SAR,54.80
18FEB,14FEB,| Keeta Riyadh SAU,debit,229.15,SAR,17.80
18FEB,13FEB,| Blaban RIYADH SAU,debit,633.14,SAR,49.00
18FEB,14FEB,| KADEJA ALSEDESET MAKKAH — SAU,debit,607.02,SAR,47.00
19FEB,16FEB,| Noon Riyadh SAU,debit,746.80,SAR,57.29
19FEB,16FEB,| Keeta Riyadh SAU,debit,858.65,SAR,65.84
19FEB,17FEB,| HOTEEL STREET ALARB THUWAL SAU,debit,443.49,SAR,34.00
22FEB,17FEB,| Bayt aloud alMuttahid LMADINA SAU,debit,315.72,SAR,24.00
22FEB,17FEB,| HALA RIYADH SAU,debit,"1,525.41",SAR,116.00
24FEB,22FEB,— |talabateom Cairo 999,debit,307.11,,
24FEB,21FEB,| GIORDANO Jeddah — SAU,debit,"3,931.50",SAR,299.00
24FEB,21FEB,| KADEIA ALSEDESET MAKKAH — SAU,debit,52.69,SAR,4.00
24FEB,21FEB,| EdfaPay for Informatio Riyadh SAU,debit,328.52,SAR,25.00
24FEB,20FEB,| Keeta riyadh SAU,debit,615.19,SAR,46.80
24FEB,20FEB,| Keeta riyadh SAU,debit,421.13,SAR,32.02
24FEB,19FEB,| BILL PAYMENT VODAFONE CAIRO EGY,debit,"1,886.67",,
25FEB,22FEB,— |talabatcom Cairo. 999,debit,"1,005.00",,
25FEB,22FEB,| MY FAWRY GIZA EGY,debit,51.52,,
26FEB,24FEB,—|talabatcom Cairo 999,debit,591.40,,
26FEB,23FEB,—|talabateom ——Cairo—-999,debit,500.53,,
